Unnamed: 0.1,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
0,0,5,1,1,0,A,0,A,0,09-10
1,1,5,1,1,120,A,0,A,0,09-10
2,2,5,1,1,241,A,0,A,0,09-10
3,3,5,1,1,361,A,0,A,0,09-10
4,4,5,1,1,482,A,0,A,0,09-10
5,5,5,1,1,602,A,0,A,0,09-10
6,6,5,1,1,723,A,0.50777754,D,193.2331089,09-10
7,7,5,1,1,843,D,0,D,0,09-10
8,8,5,1,1,964,D,0,D,0,09-10
9,9,5,1,1,1084,D,0,D,0,09-10
10,10,5,1,1,1205,D,0,D,0,09-10
11,11,5,1,1,1325,D,0,D,0,09-10
12,12,5,1,1,1446,D,0,D,0,09-10
13,13,5,1,1,1566,D,0,D,0,09-10
14,14,5,1,1,1687,D,0.67788953,B,294.4203584,09-10
15,15,5,1,1,1807,B,0,B,0,09-10
16,16,5,1,1,1928,B,0,B,0,09-10
17,17,5,1,1,2048,B,0,B,0,09-10
18,18,5,1,1,2169,B,0,B,0,09-10
19,19,5,1,1,2289,B,0,B,0,09-10
20,20,5,1,1,2410,B,0,B,0,09-10
21,21,5,1,1,2530,B,0,B,0,09-10
22,22,5,1,1,2650,B,0.6713409,C,163.4993222,09-10
23,23,5,1,1,2771,C,0,C,0,09-10
24,24,5,1,1,2891,C,0,C,0,09-10
25,25,5,1,1,3012,C,0,C,0,09-10
26,26,5,1,1,3132,C,0,C,0,09-10
27,27,5,1,1,3253,C,0,C,0,09-10
28,28,5,1,1,3373,C,0,C,0,09-10
29,29,5,1,1,3494,C,0,C,0,09-10
30,30,5,1,1,3614,C,0.61739845,A,235.2349095,10-11
31,31,5,1,1,3735,A,0,A,0,10-11
32,32,5,1,1,3855,A,0,A,0,10-11
33,33,5,1,1,3975,A,0,A,0,10-11
34,34,5,1,1,4096,A,0,A,0,10-11
35,35,5,1,1,4216,A,0,A,0,10-11
36,36,5,1,1,4337,A,0,A,0,10-11
37,37,5,1,1,4457,A,0,A,0,10-11
38,38,5,1,1,4578,A,0.67397595,B,265.1764812,10-11
39,39,5,1,1,4698,B,0,B,0,10-11
40,40,5,1,1,4819,B,0,B,0,10-11
41,41,5,1,1,4939,B,0,B,0,10-11
42,42,5,1,1,5060,B,0,B,0,10-11
43,43,5,1,1,5180,B,0,B,0,10-11
44,44,5,1,1,5301,B,0,B,0,10-11
45,45,5,1,1,5421,B,0,B,0,10-11
46,46,5,1,1,5542,B,0.45711366,D,49.7140692,10-11
47,47,5,1,1,5662,D,0,D,0,10-11
48,48,5,1,1,5783,D,0,D,0,10-11
49,49,5,1,1,5903,D,0,D,0,10-11
50,50,5,1,1,6024,D,0,D,0,10-11
51,51,5,1,1,6144,D,0,D,0,10-11
52,52,5,1,1,6264,D,0,D,0,10-11
53,53,5,1,1,6385,D,0,D,0,10-11
54,54,5,1,1,6505,D,0.52710391,A,186.9686893,10-11
55,55,5,1,1,6626,A,0,A,0,10-11
56,56,5,1,1,6746,A,0,A,0,10-11
57,57,5,1,1,6867,A,0,A,0,10-11
58,58,5,1,1,6987,A,0,A,0,10-11
59,59,5,1,1,7108,A,0,A,0,10-11
60,60,5,1,1,7228,A,0,A,0,10-11
61,61,5,1,1,7349,A,0,A,0,10-11
62,62,5,1,1,7469,A,0.45921354,D,170.9317783,10-11
63,63,5,1,1,7590,D,0,D,0,10-11
64,64,5,1,1,7710,D,0,D,0,10-11
65,65,5,1,1,7831,D,0,D,0,10-11
66,66,5,1,1,7951,D,0,D,0,10-11
67,67,5,1,1,8071,D,0,D,0,10-11
68,68,5,1,1,8192,D,0,D,0,10-11
69,69,5,1,1,8312,D,0,D,0,10-11
70,70,5,1,1,8433,D,0.64351538,A,171.0819168,10-11
71,71,5,1,1,8553,A,0,A,0,10-11
72,72,5,1,1,8674,A,0,A,0,10-11
73,73,5,1,1,8794,A,0,A,0,10-11
74,74,5,1,1,8915,A,0,A,0,10-11
75,75,5,1,1,9035,A,0,A,0,10-11
76,76,5,1,1,9156,A,0,A,0,10-11
77,77,5,1,1,9276,A,0,A,0,10-11
78,78,5,1,1,9397,A,0.57168455,D,194.1627263,10-11
79,79,5,1,1,9517,D,0,D,0,10-11
80,80,5,1,1,9637,D,0,D,0,10-11
81,81,5,1,1,9758,D,0,D,0,10-11
82,82,5,1,1,9878,D,0,D,0,10-11
83,83,5,1,1,9999,D,0,D,0,10-11
84,84,5,1,1,10119,D,0,D,0,10-11
85,85,5,1,1,10240,D,0,D,0,10-11
86,86,5,1,1,10360,D,0.45613177,B,278.8906097,10-11
87,87,5,1,1,10481,B,0,B,0,10-11
88,88,5,1,1,10601,B,0,B,0,10-11
89,89,5,1,1,10722,B,0,B,0,10-11
90,90,5,1,1,10842,B,0,B,0,12-1
91,91,5,1,1,10963,B,0,B,0,12-1
92,92,5,1,1,11083,B,0,B,0,12-1
93,93,5,1,1,11204,B,0,B,0,12-1
94,94,5,1,1,11324,B,0.75682538,A,62.4590671,12-1
95,95,5,1,1,11445,A,0,A,0,12-1
96,96,5,1,1,11565,A,0,A,0,12-1
97,97,5,1,1,11686,A,0,A,0,12-1
98,98,5,1,1,11806,A,0,A,0,12-1
99,99,5,1,1,11926,A,0,A,0,12-1
100,100,5,1,1,12047,A,0,A,0,12-1
101,101,5,1,1,12167,A,0,A,0,12-1
102,102,5,1,1,12288,A,0.47327359,B,272.7226574,12-1
103,103,5,1,1,12408,B,0,B,0,12-1
104,104,5,1,1,12529,B,0,B,0,12-1
105,105,5,1,1,12649,B,0,B,0,12-1
106,106,5,1,1,12770,B,0,B,0,12-1
107,107,5,1,1,12890,B,0,B,0,12-1
108,108,5,1,1,13011,B,0,B,0,12-1
109,109,5,1,1,13131,B,0,B,0,12-1
110,110,5,1,1,13252,B,0.43523521,C,171.7221204,12-1
111,111,5,1,1,13372,C,0,C,0,12-1
112,112,5,1,1,13493,C,0,C,0,12-1
113,113,5,1,1,13613,C,0,C,0,12-1
114,114,5,1,1,13734,C,0,C,0,12-1
115,115,5,1,1,13854,C,0,C,0,12-1
116,116,5,1,1,13975,C,0,C,0,12-1
117,117,5,1,1,14095,C,0,C,0,12-1
118,118,5,1,1,14216,C,0.4514543,B,171.7743789,12-1
119,119,5,1,1,14336,B,0,B,0,12-1
120,120,5,1,1,14457,B,0,B,0,01-2
121,121,5,1,1,14577,B,0,B,0,01-2
122,122,5,1,1,14698,B,0,B,0,01-2
123,123,5,1,1,14818,B,0,B,0,01-2
124,124,5,1,1,14939,B,0,B,0,01-2
125,125,5,1,1,15059,B,0,B,0,01-2
126,126,5,1,1,15180,B,0.58642477,C,189.577127,01-2
127,127,5,1,1,15300,C,0,C,0,01-2
128,128,5,1,1,15421,C,0,C,0,01-2
129,129,5,1,1,15541,C,0,C,0,01-2
130,130,5,1,1,15662,C,0,C,0,01-2
131,131,5,1,1,15782,C,0,C,0,01-2
132,132,5,1,1,15902,C,0,C,0,01-2
133,133,5,1,1,16023,C,0,C,0,01-2
134,134,5,1,1,16143,C,0.79265862,D,100.5122777,01-2
135,135,5,1,1,16264,D,0,D,0,01-2
136,136,5,1,1,16384,D,0,D,0,01-2
137,137,5,1,1,16505,D,0,D,0,01-2
138,138,5,1,1,16625,D,0,D,0,01-2
139,139,5,1,1,16746,D,0,D,0,01-2
140,140,5,1,1,16866,D,0,D,0,01-2
141,141,5,1,1,16987,D,0,D,0,01-2
142,142,5,1,1,17107,D,0.75150757,C,191.6504983,01-2
143,143,5,1,1,17228,C,0,C,0,01-2
144,144,5,1,1,17348,C,0,C,0,01-2
145,145,5,1,1,17469,C,0,C,0,01-2
146,146,5,1,1,17589,C,0,C,0,01-2
147,147,5,1,1,17710,C,0,C,0,01-2
148,148,5,1,1,17830,C,0,C,0,01-2
149,149,5,1,1,17951,C,0,C,0,01-2
150,150,5,1,1,18071,C,0.56655576,D,83.42559764,02-3
151,151,5,1,1,18192,D,0,D,0,02-3
152,152,5,1,1,18312,D,0,D,0,02-3
153,153,5,1,1,18432,D,0,D,0,02-3
154,154,5,1,1,18553,D,0,D,0,02-3
155,155,5,1,1,18673,D,0,D,0,02-3
156,156,5,1,1,18794,D,0,D,0,02-3
157,157,5,1,1,18914,D,0,D,0,02-3
158,158,5,1,1,19035,D,0.53823305,B,274.8671933,02-3
159,159,5,1,1,19155,B,0,B,0,02-3
160,160,5,1,1,19276,B,0,B,0,02-3
161,161,5,1,1,19396,B,0,B,0,02-3
162,162,5,1,1,19517,B,0,B,0,02-3
163,163,5,1,1,19637,B,0,B,0,02-3
164,164,5,1,1,19758,B,0,B,0,02-3
165,165,5,1,1,19878,B,0,B,0,02-3
166,166,5,1,1,19999,B,0.53839203,D,70.35782694,02-3
167,167,5,1,1,20119,D,0,D,0,02-3
168,168,5,1,1,20239,D,0,D,0,02-3
169,169,5,1,1,20360,D,0,D,0,02-3
170,170,5,1,1,20480,D,0,D,0,02-3
171,171,5,1,1,20601,D,0,D,0,02-3
172,172,5,1,1,20721,D,0,D,0,02-3
173,173,5,1,1,20842,D,0,D,0,02-3
174,174,5,1,1,20962,D,0.59361788,C,168.8277673,02-3
175,175,5,1,1,21083,C,0,C,0,02-3
176,176,5,1,1,21203,C,0,C,0,02-3
177,177,5,1,1,21324,C,0,C,0,02-3
178,178,5,1,1,21444,C,0,C,0,02-3
179,179,5,1,1,21565,C,0,C,0,02-3
180,180,5,1,1,21685,C,0,C,0,03-4
181,181,5,1,1,21806,C,0,C,0,03-4
182,182,5,1,1,21926,C,0.53924082,B,165.7073477,03-4
183,183,5,1,1,22047,B,0,B,0,03-4
184,184,5,1,1,22167,B,0,B,0,03-4
185,185,5,1,1,22288,B,0,B,0,03-4
186,186,5,1,1,22408,B,0,B,0,03-4
187,187,5,1,1,22529,B,0,B,0,03-4
188,188,5,1,1,22649,B,0,B,0,03-4
189,189,5,1,1,22770,B,0,B,0,03-4
190,190,5,1,1,22890,B,0.77357506,A,54.65131544,03-4
191,191,5,1,1,23011,A,0,A,0,03-4
192,192,5,1,1,23131,A,0,A,0,03-4
193,193,5,1,1,23252,A,0,A,0,03-4
194,194,5,1,1,23372,A,0,A,0,03-4
195,195,5,1,1,23493,A,0,A,0,03-4
196,196,5,1,1,23613,A,0,A,0,03-4
197,197,5,1,1,23734,A,0,A,0,03-4
198,198,5,1,1,23854,A,0.58297951,D,175.5347687,03-4
