Unnamed: 0.1,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
0,0,7,1,1,0,A,0,A,0,10-9
1,1,7,1,1,120,A,0,A,0,10-9
2,2,7,1,1,241,A,0,A,0,10-9
3,3,7,1,1,361,A,0,A,0,10-9
4,4,7,1,1,482,A,0,A,0,10-9
5,5,7,1,1,602,A,0,A,0,10-9
6,6,7,1,1,723,A,0.64550808,C,56.76693637,10-9
7,7,7,1,1,843,C,0,C,0,10-9
8,8,7,1,1,964,C,0,C,0,10-9
9,9,7,1,1,1084,C,0,C,0,10-9
10,10,7,1,1,1205,C,0,C,0,10-9
11,11,7,1,1,1325,C,0,C,0,10-9
12,12,7,1,1,1446,C,0,C,0,10-9
13,13,7,1,1,1566,C,0,C,0,10-9
14,14,7,1,1,1687,C,0.57321152,A,277.98104,10-9
15,15,7,1,1,1807,A,0,A,0,10-9
16,16,7,1,1,1928,A,0,A,0,10-9
17,17,7,1,1,2048,A,0,A,0,10-9
18,18,7,1,1,2168,A,0,A,0,10-9
19,19,7,1,1,2289,A,0,A,0,10-9
20,20,7,1,1,2409,A,0,A,0,10-9
21,21,7,1,1,2530,A,0,A,0,10-9
22,22,7,1,1,2651,A,0.58222434,B,276.6300683,10-9
23,23,7,1,1,2771,B,0,B,0,10-9
24,24,7,1,1,2891,B,0,B,0,10-9
25,25,7,1,1,3012,B,0,B,0,10-9
26,26,7,1,1,3132,B,0,B,0,10-9
27,27,7,1,1,3253,B,0,B,0,10-9
28,28,7,1,1,3373,B,0,B,0,10-9
29,29,7,1,1,3494,B,0,B,0,10-9
30,30,7,1,1,3614,B,0.45151303,A,58.95325667,11-10
31,31,7,1,1,3735,A,0,A,0,11-10
32,32,7,1,1,3855,A,0,A,0,11-10
33,33,7,1,1,3976,A,0,A,0,11-10
34,34,7,1,1,4096,A,0,A,0,11-10
35,35,7,1,1,4216,A,0,A,0,11-10
36,36,7,1,1,4337,A,0,A,0,11-10
37,37,7,1,1,4457,A,0,A,0,11-10
38,38,7,1,1,4578,A,0.62613115,D,194.0544421,11-10
39,39,7,1,1,4698,D,0,D,0,11-10
40,40,7,1,1,4819,D,0,D,0,11-10
41,41,7,1,1,4939,D,0,D,0,11-10
42,42,7,1,1,5060,D,0,D,0,11-10
43,43,7,1,1,5180,D,0,D,0,11-10
44,44,7,1,1,5301,D,0,D,0,11-10
