Unnamed: 0.1,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
0,0,5,1,1,0,P,1.2127994,C,147.7783,9-10
1,1,5,1,1,60,C,1.6484169,C,171.219,9-10
2,2,5,1,1,120,C,0.7044954,I,230.23036,9-10
3,3,5,1,1,180,I,1.52,E,190.0,9-10
4,4,5,1,1,240,E,1.396894,M,182.59348,9-10
5,5,5,1,1,300,M,1.52,P,159.0,9-10
6,6,5,1,1,360,P,1.0600669,P,140.1022,9-10
7,7,5,1,1,420,P,1.1595367,C,140.06323,9-10
8,8,5,1,1,480,C,1.0341027,K,147.65488,9-10
9,9,5,1,1,540,K,1.3775878,K,241.0,9-10
10,10,5,1,1,600,K,0.7599711,A,162.5,9-10
11,11,5,1,1,660,A,0.6394985,A,226.9204,9-10
12,12,5,1,1,720,A,1.3788558,C,188.18079,9-10
13,13,5,1,1,780,C,1.256289,Z,198.02357,9-10
14,14,5,1,1,840,Z,0.92531735,H,86.5,9-10
15,15,5,1,1,900,H,0.4233598,L,236.87799,9-10
16,16,5,1,1,960,L,1.1334885,Z,193.67496,9-10
17,17,5,1,1,1020,Z,0.9814797,G,186.29286,9-10
18,18,5,1,1,1080,G,1.0665321,M,213.67018,9-10
19,19,5,1,1,1140,M,0.8812676,C,175.97853,9-10
20,20,5,1,1,1200,C,1.52,M,144.0,9-10
21,21,5,1,1,1260,M,0.68084204,I,105.53296,9-10
22,22,5,1,1,1320,I,1.1928649,O,127.650116,9-10
23,23,5,1,1,1380,O,0.34956518,L,83.260155,9-10
24,24,5,1,1,1440,L,0.6308978,I,169.86638,9-10
25,25,5,1,1,1500,I,1.659995,D,82.0593,9-10
26,26,5,1,1,1560,D,0.76,F,160.0,9-10
27,27,5,1,1,1620,F,1.0297074,O,228.14104,9-10
28,28,5,1,1,1680,O,2.28,F,169.0,9-10
29,29,5,1,1,1740,F,1.1368768,O,111.99725,9-10
30,30,5,1,1,1800,O,1.52,C,104.0,9-10
31,31,5,1,1,1860,C,1.52,Z,149.0,9-10
32,32,5,1,1,1920,Z,1.0791049,G,160.08249,9-10
33,33,5,1,1,1980,G,0.59093475,N,202.57115,9-10
34,34,5,1,1,2040,N,0.6131275,F,159.50905,9-10
35,35,5,1,1,2100,F,0.76,B,146.0,9-10
36,36,5,1,1,2160,B,1.52,B,213.0,9-10
37,37,5,1,1,2220,B,0.0,B,0.0,9-10
38,38,5,1,1,2280,B,0.0,B,0.0,9-10
39,39,5,1,1,2340,B,0.0,B,0.0,9-10
