,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
0,48,1,11148,27536,0,Q,0.944,R,0,10-9
1,98,1,11111.56225,27564.42574,60,R,0.944,R,142.0415677,10-9
2,148,1,11053.4588,27574.6722,120,R,0.944,R,169.9988016,10-9
3,198,1,10995.35536,27584.91866,180,R,0.944,R,169.9988016,10-9
4,248,1,10937.25192,27595.16512,240,R,0.944,R,169.9988016,10-9
5,298,1,10879.14848,27605.41158,300,R,0.944,R,169.9988016,10-9
6,348,1,10821.04503,27615.65803,360,R,0.944,R,169.9988016,10-9
7,398,1,10762.94159,27625.90449,420,R,0.944,R,169.9988016,10-9
8,448,1,10704.83815,27636.15095,480,R,0.944,S,169.9988016,10-9
9,498,1,10671.51089,27687.08714,540,S,2.144,S,123.1964885,10-9
10,548,1,10688.13155,27820.05238,600,S,2.144,T,82.87498365,10-9
11,598,1,10709.15496,27952.37021,660,T,2.144,H,80.97198493,10-9
12,648,1,10767.2118,28071.271,720,H,2.144,H,63.97468416,10-9
13,698,1,10844.1095,28181.01043,780,H,2.144,H,54.97992115,10-9
14,748,1,10921.0072,28290.74986,840,H,2.144,U,54.97992115,10-9
15,798,1,10999.5636,28399.29573,900,U,2.144,U,54.10613362,10-9
16,848,1,11080.19379,28506.32271,960,U,2.144,F,53.00697408,10-9
17,898,1,11160.89927,28613.29271,1020,F,2.144,F,52.9666041,10-9
18,948,1,11241.96861,28719.98742,1080,F,2.144,E,52.77151036,10-9
19,998,1,11323.20946,28823.64805,1140,E,1.424,E,51.9135094,10-9
20,1048,1,11411.10137,28809.64757,1200,E,1.424,E,-9.050721677,10-9
21,1097,1,11498.99327,28795.64709,1260,E,1.424,E,-9.050721677,10-9
22,1147,1,11586.88517,28781.64661,1320,E,1.424,G,-9.050721677,10-9
23,1197,1,11674.35378,28765.77252,1380,G,1.424,G,-10.28627283,10-9
24,1247,1,11759.72799,28740.62806,1440,G,1.424,L,-16.4107846,10-9
25,1297,1,11841.73433,28712.40573,1500,L,0.944,L,-18.99080315,10-9
26,1347,1,11874.52467,28663.35685,1560,L,0.944,L,-56.23633485,10-9
27,1397,1,11907.31501,28614.30796,1620,L,0.944,L,-56.23633485,10-9
28,1446,1,11940.10536,28565.25907,1680,L,0.944,L,-56.23633485,10-9
29,1495,1,11972.8957,28516.21018,1740,L,0.944,L,-56.23633485,10-9
30,1545,1,12005.68604,28467.16129,1800,L,0.944,L,-56.23633485,10-9
31,1595,1,12038.47639,28418.11241,1860,L,0.944,L,-56.23633485,10-9
32,1645,1,12071.26673,28369.06352,1920,L,0.944,M,-56.23633485,10-9
